,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
92,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Nuclear,Realised,7167.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614218
93,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614219
94,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Fossil Gas,Realised,6916.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614220
95,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614221
96,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,190.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614222
97,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614223
98,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Biomass,Realised,1143.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614224
99,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614225
100,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Wind Offshore,Realised,112.115,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614226
101,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Wind Onshore,Realised,1383.26,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614227
